0,1,2,3,4,5,6,7,8,9,10,11
$phi$,$T_ad$,CO2,CO,H2O,H2,OH,O2,N2,H,O,h_prod
0.1,575.9673028816024,0.010390433671013792,6.605549973674388e-13,0.020692084298380854,9.656301350739771e-11,0.00017756464496816864,0.1869833526991315,0.781756438154787,1.2518272555052118e-09,1.2518266775406e-07,1696751.0868590325
0.11,602.543939188529,0.011417581847622508,9.459764054112733e-13,0.02274090913102555,1.0690361397346948e-10,0.0001885076138450634,0.1847100417953836,0.780942827737825,1.3046217081393879e-09,1.3046182695347902e-07,1626910.72796071
0.12,628.7111735660765,0.012442495243992546,4.958837548434411e-13,0.024769378040235365,4.344499186057613e-11,0.00023122330658495923,0.18243204962323717,0.7801247018369001,1.5040001039894623e-09,1.5040110883426638e-07,1566174.2375858102
0.13,655.0871155381112,0.013465558205373472,1.6219085613714345e-12,0.026837926409497843,1.1098152196222067e-10,0.00018637847895056702,0.18018465789967583,0.7793253467784665,1.3080698148830963e-09,1.3080736243854422e-07,1517929.575589815
0.14,681.0322709395042,0.014486401388734594,1.9458946563144845e-12,0.02888470397578726,1.0432807783189697e-10,0.00017619607878262763,0.17793167369378893,0.7785208910637011,1.3236990449302503e-09,1.3236923257656663e-07,1476757.6332020666
0.15,706.2679439824184,0.015504791650836338,2.396613462355375e-12,0.03088176195931438,1.0212932160981566e-10,0.00025564087433446644,0.17565698152175677,0.7777006607018585,1.6157120484642515e-09,1.615716616375037e-07,1440543.7471523327
0.16,731.9856050888659,0.016521629547246893,2.9866489816320096e-12,0.03294731070844143,9.991095217684692e-11,0.00019189527962491744,0.17342907160608992,0.7769099609930509,1.3045832919766604e-09,1.3045806516001682e-07,1410948.2094524251
0.17,757.1994149590009,0.017536185272030023,3.2911460123006324e-12,0.03498355456736445,8.724430503407965e-11,0.0001776305331212032,0.1711912212919438,0.7761112810926137,1.2589336423118354e-09,1.2589345772077127e-07,1384719.8063292515
0.18,782.1524013831396,0.018548646223630273,4.493759043065973e-12,0.03701442736856036,9.473786348430085e-11,0.00016572864162490755,0.16895727775665145,0.7753137841385157,1.344274516868606e-09,1.344275112313778e-07,1361721.5621355437
0.19,806.7362171635617,0.01955890749438335,6.679101498067059e-12,0.039028512009776646,1.1239749050457674e-10,0.00017860427414299426,0.16672069692510424,0.7745131291147536,1.4857585381321438e-09,1.4857700403569218e-07,1341169.7984287352
0.2,831.1683364173261,0.02056717636885979,7.771393635572643e-12,0.041047554609310026,1.045724834728746e-10,0.00017359462769153723,0.16449394022124197,0.7737175875018403,1.451068456780295e-09,1.451076440731357e-07,1323035.5326642431
0.21,834.2445243931959,0.020694839397937235,1.7595143791111067e-10,0.04130280912336475,4.228228826667482e-09,0.0001735940250112405,0.16421176125511935,0.7736168005962988,6.432540220873414e-08,1.2687268607295804e-07,1276174.5792393603
0.22,879.2100508629366,0.022577375965550737,1.1866900441245491e-11,0.045060835842918485,1.0279061675578713e-10,0.000187830384154258,0.16004708173151122,0.7721267109161025,1.6341120034701609e-09,1.6341099317446418e-07,1291795.5959566894
0.23,901.3480690841778,0.023577503341846932,2.8340991112071082e-11,0.04689848420082162,1.9984750726441366e-10,0.0005130427004951332,0.1577384026848441,0.7712723669750916,1.9789183313589513e-09,1.9788979392844083e-07,1275615.9876716607
0.24,926.152497137775,0.02457906229900029,3.3161553700252097e-11,0.04903567328532662,1.8722237272014486e-10,0.00024490049030412563,0.15560607557196376,0.7705340969211477,1.893183939227497e-09,1.8931868974655868e-07,1265348.424124734
0.25,948.9744071602297,0.0255763642955598,6.123525157182387e-11,0.050981051404190486,2.8076222283115715e-10,0.00034335193497872133,0.1533722427444594,0.7697267749282771,2.122282946434481e-09,2.1222825402849727e-07,1252985.9356395667
0.26,971.9990728500213,0.02657212911143637,7.832367371556059e-11,0.0529648703091724,2.90997687753805e-10,0.00035877335711941043,0.15116693270724718,0.7689370717914693,2.2015340245487697e-09,2.2015269992144285e-07,1241944.3143400543
0.27,995.216902903013,0.027566405704733135,9.129963116047183e-11,0.0549858311896329,2.743661320239155e-10,0.00029395805514814997,0.14898918806605171,0.7681643943166829,2.201013992559285e-09,2.2010107133318148e-07,1231960.6747430183
0.28,1017.6838319612999,0.02855782750461937,1.3030803104782194e-10,0.05694091080209786,3.5326796882174146e-10,0.0003494858803439699,0.14678133976402116,0.7673701983534909,2.348633775466475e-09,2.3486321720732235e-07,1221670.0939727332
0.29,1041.235743466192,0.029549170467028554,1.9838757349936916e-10,0.05902923113718319,4.969348235646189e-10,0.00013821422176450818,0.14465433290771773,0.7666287299073421,5.171661285635702e-09,3.1549198017901127e-07,1213789.9094108907
